agency_name,system_name,authority,categories_of_record,xml_url
DEPARTMENT OF DEFENSE,"[""Computer/Electronic Accommodations Program, DHRA 15.""]","[""10 U.S.C. 1582, Assistive Technology, Assistive Technology Devices, and Assistive Technology Services; 29 U.S.C. 794d, Electronic and Information Technology; 42 U.S.C. Ch.126, Equal Opportunity For Individuals With Disabilities; and Department of Defense (DoD) Instruction 6025.22, Assistive Technology (AT) for Wounded, Ill, and Injured Service Members.""]","[""Name(s), position/title, mailing/home/work address, work email address, disability information, official duty telephone number, worker compensation claims number, CAP request number, employment information, agency/organization, verification of disability, prior assistive technology solutions provided to the individual, CAP order number, and history of accommodations being sought. Product and vendor contact information including vendor name and address, vendor alias, phone number, fax number, email address, web address, order submission preference, orders, invoices, declination, and cancellation data for the product and identification of vendors, vendor products used, and product costs.""]",https://www.federalregister.gov/documents/full_text/xml/2020/09/23/2020-21016.xml
DEPARTMENT OF VETERANS AFFAIRS,"[""Patient Medical Records-VA (24VA10A7)""]","[""Title 38, United States Code, Sections 501(b) and 304.""]","[""The medical record is a consolidated health record (CHR) which may include:"", [""(i) An administrative (non-clinical information) record ("", ""e.g.,"", "" medical benefit application and eligibility information) including information obtained from Veterans Benefits Administration automated records such as the Veterans and Beneficiaries Identification and Records Locator Subsystem-VA (38VA23) and the Compensation, Pension, Education and Rehabilitation Records-VA (58VA21/22/28), and correspondence about the individual;""], ""(ii) A medical record (a cumulative account of sociological, diagnostic, counseling, rehabilitation, drug and alcohol, dietetic, medical, surgical, dental, psychological, and/or psychiatric information compiled by VA professional staff and non-VA health care providers), and"", [""(iii) Subsidiary record information ("", ""e.g.,"", "" Bed Management Solution (BMS), tumor registry, certain clinically oriented information associated with My Health"", ""e"", ""Vet such as secure messages, minimum data set, dental, pharmacy, nuclear medicine, clinical laboratory, radiology, and patient scheduling information). The CHR may also include identifying information ("", ""e.g.,"", "" name, address, date of birth, VA claim number, social security number); medical record number, military service information ("", ""e.g.,"", "" dates, branch and character of service, service number, medical information); family information ("", ""e.g.,"", "" next of kin and person to notify in an emergency; address information, name, "", {}, ""social security number and date of birth for Veteran's spouse and dependents; family medical history information); employment information ("", ""e.g.,"", "" occupation, employer name and address); financial information ("", ""e.g.,"", "" family income; assets; expenses; debts; amount and source of income for Veteran, spouse, and dependents); third-party health plan contract information ("", ""e.g.,"", "" health insurance carrier name and address, policy number, amounts billed and paid); and information pertaining to the individual's medical, surgical, psychiatric, dental, and/or psychological examination, evaluation, and/or treatment ("", ""e.g.,"", "" information related to the chief complaint and history of present illness; information related to physical, diagnostic, therapeutic special examinations; clinical laboratory, pathology and x-ray findings; operations; medical history; medications prescribed and dispensed; treatment plan and progress; consultations; photographs taken for identification and medical treatment; education and research purposes; facility locations where treatment is provided; observations and clinical impressions of health care providers to include identity of providers and to include, as appropriate, the present state of the patient's health; and an assessment of the patient's emotional, behavioral, and social status, as well as an assessment of the patient's rehabilitation potential and nursing care needs). Abstract information ("", ""e.g.,"", "" environmental, epidemiological and treatment regimen registries) is maintained in auxiliary paper and automated records.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/10/02/2020-21426.xml
DEPARTMENT OF JUSTICE,"[""Federal Bureau of Investigation Whistleblower Case Files, Justice/JMD-023.""]",,"[""[Delete existing paragraph and replace with the following:]"", [""The records in the system relate to OARM's adjudication of FBI whistleblower reprisal claims under 28 CFR part 27 and customarily include: (1) The complainant's request for corrective action; (2) OIG/OPR Reports of Investigation and any recommendation for corrective action; (3) the parties' pleadings and evidentiary submissions ("", ""e.g.,"", "" affidavits, depositions, audio/visual DVDs, electronic communications, etc.); (4) correspondence between OARM and the parties and OARM and OIG/OPR; (5) OARM Orders and Opinions; and/or (6) settlement agreements.""], ""The records in the system also include: (1) The parties' pleadings and evidentiary submissions presented to OARM for adjudication of any claim of a breach of a settlement agreement reached through the parties' participation in the Department's FBI Whistleblower Mediation Program; (2) OARM's decisional or procedural issuances in breach of settlement agreement cases; and (3) appellate materials presented to, and used by, the DAG in adjudicating a party's request for review of OARM's final determinations and corrective action orders brought under 28 CFR 27.5, as well as any request for review of a decision by OARM in a breach of settlement agreement case."", {}]",https://www.federalregister.gov/documents/full_text/xml/2020/09/30/2020-21633.xml
DEPARTMENT OF DEFENSE,"[""Employer Support of the Guard and Reserve Ombudsman Inquiry and Case Management System (ICMS), DHRA 16.""]","[""38 U.S.C. Ch. 43, Employment and Reemployment Rights of Members of the Uniformed Services; 5 U.S.C. 574, Confidentiality; 5 U.S.C. Part I, Chapter 5, Subchapter IV, Alternative Means of Dispute Resolution in the Administrative Process; 42 U.S.C. 300hh-11, National Disaster Medical System, ((d)(3) Employment and reemployment rights); 20 CFR 1002, Regulations Under the Uniformed Services Employment and Reemployment Rights Act of 1994; 5 CFR 353, Restoration to Duty from Uniformed Service or Compensable Injury; DoD Instruction 1205.22, Employer Support of the Guard and Reserve; and DoD Instruction 1205.12, Civilian Employment and Reemployment Rights for Service Members, Former Service Members and Applicants of the Uniformed Services.""]","[""Individual's full name, home address, home or work phone number, home or work email address; current Uniformed Service member pay grade; ESGR case number; type of USERRA issue; employer name, employer type, employer's contact name, contact phone, email and address; name, email and state committee/ESGR affiliation of ESGR employee, contractor, or volunteer who handles an inquiry or mediation case; and case notes.""]",https://www.federalregister.gov/documents/full_text/xml/2020/09/23/2020-21013.xml
DEPARTMENT OF DEFENSE,"[""Defense Repository for Common Enterprise Data (DRCED), DUSDC 01.""]","[""10 U.S.C. 2222, Defense Business Systems: Business Process Reengineering; Enterprise Architecture; Management; 31 U.S.C. 902, Authority and Functions of Agency Chief Financial Officers, as amended; 31 U.S.C. 6101, Digital Accountability and Transparency Act of 2006, as amended in 2014; 31 U.S.C. 3512(b), Executive Agency Accounting and Other Financial Management Reports and Plans; 10 U.S.C. 117, Readiness Reporting System; DoD Directive 7045.14, The Planning, Programming, Budgeting, and Execution (PPBE) Process; DoD Instruction 8320.02, Data Sharing in a Net-Centric Department of Defense; and E.O. 9397 (SSN), as amended.""]","[[""Personal Information:"", "" Name; DoD ID number; Social Security Number (SSN); address; email address(es); date of birth; gender; branch of service; citizenship; Defense Enrollment Eligibility Reporting System benefit number; sponsorship and beneficiary information; race and ethnic origin;""], [""Employment Information:"", "" mployment status; duty position; leave balances and history; work schedules; individual personnel records; time and attendance records; retirement records, sponsor duty location, unit of assignment; occupation; rank; skill specialty; security clearance information.""], [""Personal Financial Information:"", "" Pay, wage, earnings information; separation information; financial benefit records; income tax withholding records; accounting records.""], [""Medical Readiness and Deployment Information:"", "" Inpatient and outpatient medical records; pharmacy records; immunization records; Medical and Physical Evaluation Board records; neuropsychological functioning and cognitive testing data; periodic and deployment-related health assessments.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/03/17/2020-05504.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security (DHS)/ALL-043 Enterprise Biometric Administrative Records (EBAR) System of Records.""]","[""6 U.S.C. secs. 202 and 482; 8 U.S.C. secs., 1365a, 1365b, 1379, 1722, 1731, and 1732; 13764 (82 FR 8115), Homeland Security Presidential Directive 12 (HSPD-12): Policy for a Common Identification Standard for Federal Employees and Contractors (Aug. 27, 2004); HSPD-11: Comprehensive Terrorist-Related Screening Procedures (Aug. 27, 2004); and National Security Presidential Directive/NSPD-59/HSPD-24: Biometrics for Identification and Screening to Enhance National Security (June 5, 2008).""]","[[""The unique records generated by EBAR include unique machine-generated identifiers ("", ""e.g.,"", "" Encounter Identification Number (EID), fingerprint identification number (FIN), and Transaction Control Number (TCN)) that link individuals with their encounters, biometrics, records, and other data elements.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/03/16/2020-04979.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security/U.S. Citizenship and Immigration Services-002 Background Check Service System of Records and Department of Homeland Security/U.S. Citizenship and Immigration Services-003 Biometric Storage System.""]",,,https://www.federalregister.gov/documents/full_text/xml/2020/03/11/2020-04977.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security/U.S. Customs and Border Protection-017 Analytical Framework for Intelligence.""]",,,https://www.federalregister.gov/documents/full_text/xml/2020/03/11/2020-04982.xml
COMMODITY FUTURES TRADING COMMISSION,"[""Ensuring Workplace Health and Safety in Response to a Public Health Emergency; CFTC-54.""]","[[""The authority to collect this information derives from General Duty Clause, Section 5(a)(1) of the Occupational Safety and Health (OSH) Act of 1970 (29 U.S.C. 654), Executive Order 12196, "", ""Occupational safety and health programs for Federal employees"", "" (Feb. 26, 1980), OMB Memorandum M-20-23 "", ""Aligning Federal Agency Operations with the National Guidelines for Opening Up America Again"", "" (Apr. 20, 2020), and the National Defense Authorization Act For Fiscal Year 2017 (5 U.S.C. 6329c(b)). Information will be collected and maintained in accordance with the Americans with Disabilities Act of 1990 (42 U.S.C. 12101 "", ""et seq."", "")""]]","[[""This system maintains information collected about CFTC staff and visitors accessing CFTC facilities during a public health emergency, including a pandemic or epidemic. It maintains biographical information collected about CFTC staff and visitors that includes, but is not limited to, their "", {}, ""name, contact information, whether they are in a high-risk category or provide dependent care for individuals in a high-risk category, and recent travel. It maintains health information collected about CFTC staff and visitors to a CFTC facility, that includes, but is not limited to, temperature checks, expected or confirmed test results, dates, symptoms, potential or actual exposure to a pathogen, immunizations and vaccination information, or other medical history related to the treatment of a pathogen or communicable disease. It maintains information collected about CFTC staff and visitors to a CFTC facility necessary to conduct contact tracing that includes, but is not limited to, the dates when they visited the facility, the locations that they visited within the facility ("", ""e.g.,"", "" office and cubicle number), the duration of time spent in the facility, whether they may have potentially come into contact with a contagious person while visiting the facility, travel dates and locations, and a preferred contact number. It maintains information about emergency contacts for CFTC staff that includes, but is not limited to, the emergency contact's name, phone number, and email address.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/09/29/2020-21423.xml
DEPARTMENT OF LABOR,"[""Office of Inspector General Warehouse and Learning System (OWLS), DOL/OIG-12.""]","[""The Inspector General Act of 1978, as amended, 5 U.S.C. Appendix 3.""]","[""The system includes but is not limited to names, social security numbers, date of birth, address, telephone number, email address, benefits information, medical information, application information, payments, banking and financial information, contracts, loans, salary, travel, hearings, inquiries, investigations, audits, reviews, and other records relevant to benefits or programs administered by the Department or associated Federal or state programs.""]",https://www.federalregister.gov/documents/full_text/xml/2020/09/28/2020-21279.xml
