id,PIA / SORN,System Name,Url,PII,Purpose,Retention,Sharing / Routine Uses,SORN ID
1,PIA,Ancillary Financial Application (AFA) system ,https://www.gsa.gov/cdnstatic/Ancillary_Financial_Applications_AFA_PIA.pdf,"TIN, person’s name, SSN, home address, home phone, and e-mail address.","These ancillary applications assist in GSA’s mission by allowing the Office of the Chief Financial Office users to review, validate, and reconcile transactions in a variety of financial domains such as vendor invoices and accounts payables.","The Pegasys financial records are the system of record, but GSA currently maintains the AFA records indefinitely. At a minimum NARA requires retention for at least 6 years after contracts expire for financial management records. ","Data is shared between this system and Pegasys. It is a two-way interface, but personal data is only shared from Pegasys to AFA. AFA does not provide updates of the personal data back to Pegasys. Pegasys has moved to USDA and AFA shares data between the two systems.",GSA/PPFM-11
2,PIA,Beta.SAM.gov,https://www.gsa.gov/cdnstatic/BetaSAM%20PIA%20.pdf,"In the Entity Management functional area, SAM contains records that capture information users voluntarily provide about their entity as part of the process to register to do business with the Federal Government, including the entity legal business name, entity email address, entity telephone number, entity Taxpayer Identification Number (TIN), and entity address. In the case of a sole proprietor, tax laws allow them to use their Social Security Number (SSN) as their TIN if they do not have a separate Employer Identification Number (EIN). The TIN (whether it be an EIN or an SSN) is not publicly available data. In the exclusion portion of the Performance Information functional area, SAM contains records entered by Federal agency suspension and debarment officials, some of which may be records on individuals.","GSA has established a system of records subject to the Privacy Act of 1974 (as amended), 5 U.S.C. 552a. The System for Award Management (SAM) consolidates functions that were previously handled by the Central Contractor Registration (CCR) system, Excluded Parties List System (EPLS), and Online Representations and Certifications Application (ORCA).","System records are retained and disposed of according to GSA records maintenance and disposition schedules, the requirements of the Recovery Board, and the National Archives and Records Administration. For the Entity Management functional area, SAM allows users to update and delete their own entity registration records. For the exclusions portion of the Performance Information functional area, electronic records of past exclusions are maintained permanently in the archive list for historical reference. Federal agencies reporting exclusion information in SAM should follow their agency’s guidance and policies for disposition of paper records.","Yes. Federal agency Contract Writing Systems (CWS), grants management systems, and financial systems will all use data from Beta.SAM. They go through a data access request process to allow them certain levels of data. The data is provided over encrypted connections and are either FTP or web services (XML). Part of the access process includes a Non-Disclosure Agreement and System Authorization Access Request which is agreed to by the requestor during the data access request process and includes user responsibility regarding the data.",N/A
3,PIA,"Carlson Wagonlit Government Travel, Inc., d.b.a. CWTSatoTravel","https://www.gsa.gov/cdnstatic/E2-Solutions%20TAVS%20PIA%20webversion%20signed%20January%2011,%202018.pdf","To use E2 Solutions, a traveler must enter unique identifying information such as user id and password. A user profile is established for each traveler which contains personal information, including organization address, telephone number, travel preferences, frequent flyer and rental car club account numbers, passport information, emergency contract name, alternative address and telephone number, personal credit card number (official travel charge care account at a minimum), date of birth, gender, redress number, known traveler number, and other information as required by the agency’s Travel Authorization and Voucher System , Travel Management Center (TMC), and transportation providers for making reservations and issuing tickets. Information gathered includes Traveler Profile data, Name, SSN (if applicable by agency requirements), UserID, home address, home and office email, home and office telephone numbers, current passport and/or visa number(s), credit card numbers and related information; bank account information needed for electronic funds transfer; frequent traveler account information; travel claim information; destinations; date of birth; gender; redress number; known traveler number; and individual charges and balances. In addition, other passport information (i.e. issuing country, expiration date), and emergency contact information are included. Additional information may be entered at the traveler’s discretion for enhanced service, such as air, hotel, and car rental preferences, and frequent traveler or club membership numbers. When travel arrangements are made, the following information is entered: travel dates and times, departure and arrival cities and airports or terminals, selected airline flight or train tickets Privacy Impact Assessment CWTSatoTravel, E2 Solutions Page 6 Version 01/11//2018 reserved, hotel reservations, and car rentals reserved. Any special requests or accommodations required are also entered. Federal agency accounting systems will interface with the E2 Solutions component for proper recording of obligations when travel authorizations are approved, and for recording expenses when voucher payments are made. (Data will be passed between systems. The agency accounting systems will not have direct access to E2 Solutions databases.) The Travel Management Center (TMC) will have access to the profile and reservation data input by the traveler. This access is necessary for the TMC to complete reservation and ticketing actions (e.g. in order to email the traveler her itinerary). The TMC does not have access to E2 Solutions.. The on-line booking engine directs reservations to the TMC for fulfillment, i.e., ticketing for transportation and confirmation of hotel and/or car reservations. The reservation systems, or Global Distribution Systems (GDS), provide the link between the on-line booking engine and the TMC. GDSX, the interface between the GDS and E2 Solutions provides updates to the traveler’s reservations if modifications are made. This is an interface which data securely traverses between E2 Solutions and the GDS to maintain the integrity of the travelers’ reservations.","Collection of PII is required for E2 Solutions application in support of the ETS2 master contract. The individual traveler’s profile data is needed to accurately reserve and ticket travel, and to have expenses charged to the proper travel charge card account. The reservation data is needed to accomplish the required travel, and to estimate trip costs for authorization purposes. The TAVS data is required to properly record the obligation of funds, to accurately calculate and accomplish reimbursement of the traveler and/or payment to the travel card vendor and to liquidate the obligation when payment is made.","The data will be used, processed, and then stored. Data will be stored for six years three months; this is specified by NARA and in the vendor’s contract. NARA guidelines regarding records disposition are to be followed. As specified in the contract, “ETS2 shall prevent the purging of historical records prior to the proper retention period, and permit purging only of those records authorized for disposal by the National Archives and Records Administration (NARA) per 36 CFR 1228 and 1234. NARA General Records Schedule 9 for Travel and Transportation Records and General Records Schedule 20 for Electronic Records shall apply. The contract stipulates “ETS2 should provide online access to detailed transaction information for a minimum period of 36 months, and permit access to archived detailed transaction information for a period of 6 years and 3 months.” The TAVS data is maintained in accordance with the General Records Retention Schedules issued by the National Archives and Records Administration. Traveler profile data may be updated by the traveler, the TMC, or the System Administrator as needed. The profile is maintained as long as the individual travels, or may travel, at Government expense. The GDS and PNR hold post-travel data for reporting purposes for 90 days","The “Routine uses of records…” section in System of Records, Contracted Travel Services Program: GSA/GOVT-4 states: Information in the system may be disclosed as a routine use as follows: Privacy Impact Assessment CWTSatoTravel, E2 Solutions Page 15 Version 01/11//2018 a. To a Federal, State, local or foreign agency responsible for investigating, prosecuting, enforcing, or carrying out a statute, rule, regulation, or order, where agencies become aware of a violation or potential violation of civil or criminal law or regulation. b. To another Federal agency or a court when the Federal government is party to a judicial proceeding. c. To a Member of Congress or staff on behalf and at the requests of the individual who is the subject of the record. d. To a Federal agency employee, expert, consultant, or contractor in performing a Federal duty for purposes of authorizing, arranging, and/or claiming reimbursement for official travel, including, but not limited to, traveler profile information. e. To a credit card company for billing purposes, including collection of past due amounts. f. To a Federal agency, expert, consultant, or contractor for accumulating reporting data, conducting surveys, and monitoring the system in the performance of a Federal duty to which the information is relevant. g. To a Federal agency by the contractor in the form of itemized statements or invoices, and reports of all transactions, including refunds and adjustments to enable audits of charges to the Federal government. h. To a Federal agency in response to its request, in connection with the hiring or retention of any employee; the issuance of a security clearance; the reporting of an investigation to the extent that the information is relevant and necessary to the requesting agency’s decision on the matter. i. To an authorized appeal or grievance examiner, formal complaints examiner, equal employment opportunity investigator, arbitrator, or other duly authorized official engaged in investigation or settlement of a grievance, complaint, or appeal filed by an employee to whom the information pertains. j. To the Office of Personnel Management (OPM), the Office of Management and Budget (OMB), or the Government Accountability Office (GAO) when the information is required for program evaluation purposes. k. To officials of labor organizations recognized under 5 U.S.C. chapter 71 when relevant and necessary to their duties of exclusive representation concerning personnel policies, practices, and matters affecting working conditions. l. To a travel services provider for billing and refund purposes. m. To a carrier of an insurer for settlement of an employee claim for loss of or damage to personal property incident to service under 31 U.S.C. Sec. 3721, or to a party involved in a tort claim against the Federal government resulting from an accident involving a traveler. n. To a credit reporting agency or credit bureau, as allowed and authorized by law, for the purpose of adding to a credit history file when it has been determined that an individual’s account with a creditor with input to the system is delinquent. o. Summary or statistical data from the system with no reference to an identifiable individual may be released publicly. p. To the National Archives and Records Administration (NARA) for record management.","GSA/GOVT-4,"
4,PIA,Challenge.gov,https://www.gsa.gov/cdnstatic/Challengegov%20PIA.pdf,"At a minimum, users submitting challenge solutions are required to provide an e-mail address, username and password, by their own designation. In addition, users may voluntarily elect to provide the following data elements to create a profile, though none are required for participation: ● First and last name ● Phone number ● City, state and country ● Website (e.g., school, company, Twitter or LinkedIN pages) ● Photo or image ● Biographical sketch of no more than 1,000 words ● Additional skills and interests from a preset selection ● Additional skills and images in a free form text box",Challenge.gov is an Office of Technology Transformation Service (TTS) application. The Challenge.gov platform is available at no cost for federal agencies to host crowdsourcing competitions. T,No. The list of challenge and prize competitions is managed by each agency that submits them.,"Identifiable information collected within Challenge.gov is shared with the appropriate agencies. For example, if a user has a question regarding a challenge, the agency associated with that challenge could respond directly to that individual. In addition, in instances where a citizen wins a challenge and is thus entitled to a financial prize or other tangible reward, the agency sponsoring that challenge may contact the user directly via Challenge.gov to offer necessary guidance on separate channels for providing personal information to verify eligibility and/or receive payment (e.g., address or bank account number). Challenge.gov does not collect or provide this information. In these cases, it is the sole responsibility of the agency or agencies sponsoring the challenge to ensure proper safeguards around the collection and retention of that personal information.","The required information collected by Challenge.gov, which are email addresses, is not Privacy Act System of Records; therefore a SORN is not required. In addition, the optional information collected (first/last names, phone number, and city/state/country) is also excluded."
5,PIA,Child Care Subsidy,https://www.gsa.gov/cdnstatic/Child%20Care%20Subsidy(CCS)_PIA_June2019.pdf,"The CCS application collects the following personal information that are stored on documents in the Document Management subsystem and as database fields in the Eligibility and Invoice Processing subsystem: ● Parent (the Member/Employee): SSN, Name, Work Address, Work phone, Work email, Home Address, Home phone, and Home e-mail. 11 Version 2.4: November 28, 2018 ● Spouse or Partner: Name, Address, Phone, Email, Employer Name, Spouse/Partner’s School Name ● Child(ren) enrolled: Name and Date of Birth ● Power of Attorney or Guardian (if different than Parent / Spouse): Name, Address, Phone, Email ● Childcare Providers: Provider: Name, Address, Taxpayer Identification Number, Phone, Email ● Historical documentation before July 2016 was collected and is stored in ImageNow (e.g. parents’ tax returns) - this is outside of the Salesforce app and is not connected. There are no active deletes happening currently. ● Legal Documents with attributes including but not limited to name (e.g. Marriage License, Name Change, POA), to whom it applies (e.g. Parent, Child, Guardian), effective date and expiration date where applicable. The Child Care Subsidy Program administrators determine the eligibility of the Member /Employee based on the data submitted. The Child Care Subsidy program does not receive information from another system.","The information collected by GSA with regards to Agency employees is minimum required for GSA to assist the employee in providing requested services. If errant documents are sent to GSA as a part of an application or family renewal, those documents are deleted as a matter of general practice.","Records will be archived in accordance with their disposition schedule. GSA records that do not have an approved disposition schedule will be retained until disposition authority is obtained from NARA in accordance with Implementing Schedules under 36 CFR 1226.14. Additionally for internal reporting and handling of records on these transactions with other agencies: GRS 04.2/130 (DAA-GRS-2013-0007-0012) Personally identifiable information extracts. Description: ""System-generated or hardcopy print-outs generated for business purposes that contain Personally Identifiable Information. Legal citation: OMB M-07-16 (May 22, 2007), Attachment 1, Section C, bullet “Log and Verify.”"" Temporary. Destroy when 90 days old or no longer needed pursuant to supervisory authorization, whichever is appropriate. GRS 04.2/140 (DAA-GRS-2013-0007-0013) Personally identifiable information extract logs 9 Version 2.4: November 28, 2018 Description: ""Logs that track the use of PII extracts by authorized users, containing some or all of: date and time of extract, name and component of information system from which data is extracted, user extracting data, data elements involved, business purpose for which the data will be used, length of time extracted information will be used. Also includes (if appropriate): justification and supervisory authorization for retaining extract longer than 90 days, and anticipated disposition date.","Forms are submitted by the Members/Employees and then CCS program administrators enter the documentation into the CCS Document Management subsystem. Upon approval, the data is hand-entered into the Eligibility and Invoice Processing subsystem to allow for invoices to be processed on behalf of the beneficiary. Once an application or action request is received from a Member/Employee, the information from the documents 14 Version 2.4: November 28, 2018 submitted is entered into the Eligibility and Invoice Processing subsystem by GSA Child Care Subsidy program administrators. When invoices are received by GSA staff, the invoice data is entered and it is shared with Pegasys for processing the payment and with PAR for recording the amounts in the employee record for the W-2 earning statement at the end of the year. The Social Security Number of the employee is required for this processing in order to process the earnings into PAR. The data is retained in CCS, Pegasys, and PAR per the financial management retention policies for at least six years. The Invoice Administrator may reject the invoice and in that case, it would not be entered into CCS or sent to the GSA financial system. In addition, GSA may disclose system records in accordance with the routine uses listed in the GSA/CEO-1 SORN.",GSA-OCIO-3
6,PIA,ConcurGov,https://www.gsa.gov/cdnstatic/E-Gov%20Travel-Concur%20Government%20Edition_PIA_July2019.pdf,SAP Concur Travel (Travel) – reference GSA Master Contract Section C Attachment 14 Yes Traveler Information ConcurGov system access; booking travel/trips In place in accordance with the ETS2 contract Travel Authorization and Voucher (TAVS) (Expense) – reference GSA Master Contract Section C Attachment 14 Yes Traveler expense Information Travel expense payment and reimbursement In place in accordance with the ETS2 contract,"ConcurGov maintains and uses information in order to meet current and future government travel requirements and needs for the purpose of recording travel information provided by the user to create travel itineraries, reserve any method or mode of travel accommodations, and claim entitlements and allowances prescribed in applicable Federal travel regulations. The purpose of the collection of this information is to establish a comprehensive travel services system that enables travel service providers under contract with the Federal government to authorize, issue, and account for travel and travel reimbursements provided to individuals on official Federal government business. Routine uses of the information are outlined in the Privacy Act notice represented within this document.","Yes, records are retained in accordance with the GSA ETS2 Master Contract, which specifies compliance with the records retention requirements established by the NARA, accessible at http://www.archives.gov/about/laws/, this Master Contract, and IRS regulations as applicable. The applicable schedule is NARA General Records Schedule 01.1/010 (DAA-GRS-2013-0003-0001.  The records retention schedule coincides with Government fiscal year—October 1 through the following September 30—for dating and retention of records.  The records retention and archiving scheme is documented in SAP Concur’s ETS2 Data Management Plan.  Controls are in place to prevent the purging of historical records prior to the proper retention period, and permit purging only of those records authorized for disposal by the NARA per 36 CFR 1228 and 1234.","Unless otherwise authorized by a customer, SAP Concur does not disclose data to unauthorized third parties.  The Master Contract calls for data generated by and/or stored in the system to be transmitted to GSA or third-party vendors designated by GSA, including the Travel Management Information Service (MIS).", (GSA/GOVT-4) 
7,PIA,Controlled Document Tracker (CDT),https://www.gsa.gov/cdnstatic/CDT%20Controlled%20Document%20Tracker_PIA_November2018_post%20version.pdf,"System information includes correspondences and documents and, in addition to work contact information, may also include the following specific types of private data: ● Personal full name; ● Personal physical address; ● Personal phone number; ● Personal email address; 9 Version 2.1: July 02, 2018 ● Employer information and address, for example, for Federal employees or contractors regarding facility or employment concerns; ● Dun & Bradstreet and/or Tax ID numbers; and ● Names and email addresses (personal or work) may be stored in searchable data fields, but other data would be contained in documents attached to system records","GSA receives and tracks all relevant information about a controlled document, as provided by the requestor. It is up to the discretion of the requestor to decide what information (personal or otherwise) is relevant to the request.","The life expectancy will vary as required by National Archive and Records Administration regulations and GSA Records and Retention Policy. In general, NARA requires records, including general correspondence and decision files accumulated by the Office of the Administrator and Heads of SSOs for any major subject in managing and carrying out the functions assigned to GSA other than office administration, to be stored permanently. The system allows the flexibility for the Application Owner to request that entire records be deleted by a Salesforce administrator. This is performed only after first ensuring the NARA records requirements are met. Where there is not an approved records retention schedule, Exec Sec has consulted with the agency records officer to develop a records retention schedule for the minimum amount of time necessary to fulfill the project’s needs.","No. As part of sharing resolution of the inquiry with the entity that had made the request on behalf of the individual, GSA may occasionally need to share personal information (such as a name of business at which the individual is employed) to the original congressional or White House requester. In this situation, GSA would actually be sharing such information only with the entity that had originally provided it to GSA.",GSA-OCIO-3
8,PIA,Design research,https://www.gsa.gov/cdnstatic/20181022%20-%20Design%20Research%20PIA_posted%20version.pdf,"Administrative data may contain PII. Administrative data is data collected and used during the recruiting and administration of a design research study. Administrative data includes: ● Respondent data is data such as voluntarily submitted name, contact information (for example, telephone number or email address), reason for visiting the digital product or service, profession, and goals for use. When necessary, this may also include demographic information such as age range, education level, language, occupation, etc. ● Respondent metadata is metadata collected at time of response, such as timestamp, operating system, and user-agent (“browser”). ● Administration trace data is data used to facilitate the administration of design research. For example, GSA agents may record having contacted a respondent for an interview or having received a participant’s signature on an informed consent form.","GSA collects this information to help meet the mandate of Executive Order 13571, Section 2 (B), which requires agencies to establish mechanisms to solicit customer feedback on Government services and using such feedback regularly to make service improvements. GSA collects administrative data, including voluntarily submitted respondent data and metadata, for recruiting and administration purposes. These purposes include filtering respondents for study participation, scheduling participation, and conducting follow-up. GSA collects study data to: (1) better understand the experiential aspects (such as usability) of products and services, (2) better understand the contexts in which digital products and services are used, (3) inform design hypotheses, and (4) evaluate design decisions.","GSA maintains and disposes of agency records in accordance with NARA’s General Records Schedule (GRS) 3.1-011, “General Technology Management Records - System Development Records. GSA destroys these records at maximum either (1) five years after a given system is superseded by a new iteration, terminated, or defunded; or (2) when the records are no longer needed for agency/IT administrative purposes.","Yes. Although design research is primarily conducted to aid GSA’s service delivery, GSA may administer design research in collaboration with, or on behalf of, other government agencies. When it does so, GSA works to meet applicable privacy requirements both at GSA and at the agencies with whom it collaborates. GSA uses contracts to define the conditions under which it is expected to share design research data. Design research may lead to the creation of design research artifacts, such as research reports, personas, and journey maps. GSA may make versions of such artifacts available after assessing the sensitivity of each artifact and applying risk-based mitigation strategies, for example de-identifying the data or seeking consent from the individuals involved.",GSA-OCIO-3
9,PIA,Electronic Document Managing Software Platform (EDMS),https://www.gsa.gov/cdnstatic/Electronic_Document_Management_Software_EDMS_PIA_WebVersion.pdf,"Resumes include name, personal e-mail address, home address, home phone number, and other personal information. Suitability adjudication letters include name and adjudication decision. Employee records include names and may also include gender, race, birth date, age, home e-mail address, home address, home phone number, Social Security Number, employment history, and similar personal information.",The purpose of the Electronic Document Management Software (EDMS) system is to serve as a repository for the PBS’s documents to reduce paper storage and provide reliable and secure access to documents where and when they are needed.,"Life expectancy of documents is variable depending on the type and purpose of the document. GSA Handbook OAD P 1820.2A, GSA Records Maintenance and Disposition System, is used for determining disposition requirements.",No PII is exchanged with other systems,Employee related files: GSA/Agency-1 Other files: GSA/Agency-7
10,PIA,Employee Relocation Resource Center,https://www.gsa.gov/cdnstatic/Employee%20Relocation%20Resource%20Center%20(ERRC)_PIA_June2019.pdf,"Full Name ● physical address; ● Phone number; ● Email address; 11 Version 2.4: November 28, 2018 ● Agency Name ● Vendor ● GSA Program - Types of Services needed/requested ● Documents with Case Information Documents related to case can be anything that is needed to resolve their queries such as agencies may send a formal letter of appeal from a transferring employee, challenging the appraised value. Oftentimes the appeals are very personal regarding the employee's living situation or financial situation. The information collected by GSA with regards to Agency employees / contractor is bare minimum and is required for GSA to assist the Agency employees in providing requested services. All privacy controls are in place in accordance with GSA’s Privacy Policies and Procedures.","The information collected by GSA with regards to Agency employees / contractor is bare minimum and is required for GSA to assist the Agency employees in providing requested services. ● Full Name ● Personal address ● Personal or work phone number ● Agency Name ● Vendor Company Name 8 Version 2.4: November 28, 2018 ● Vendor Contact’s Full Name ● GSA Program - Types of Services needed/requested ● Documents with Case Information ● Names and email addresses (personal or work) may be stored in searchable data fields, but other data is only contained in documents attached to system records","ERRC follows the federal record retention policy of 7 years from the date the record was created in Salesforce. The information is retained for reference in further appeals or congressional inquiries, which occasionally occurs. Info is used internally for training and case studies. ERRC application owner and application team manages the information and creates a request to either delete or archive records.","No. ERRC does not share agency or employee information with anyone outside of ERRC generally. However, it may be disclosed in accordance with SORN routine uses.",GSA-OCIO-3
